3022.227667442, 23.784180
3022.285101859, 23.652344
3022.384968609, 23.784180
3022.484965734, 23.696289
3022.584939275, 23.696289
3022.684920817, 23.828125
3022.784920150, 23.696289
3022.884914775, 23.828125
3022.984911109, 23.696289
3023.084918525, 23.784180
3023.097844317, 23.740234
3023.185062692, 23.520508
3023.284979442, 23.476562
3023.385016692, 23.564453
3023.484988650, 23.476562
3023.584955067, 23.520508
3023.684941817, 23.520508
3023.784968525, 23.608398
3023.884955692, 23.608398
3023.984942775, 23.520508
3023.997384609, 23.476562
3024.085049775, 23.520508
3024.184978275, 23.608398
3024.284959400, 23.564453
3024.384979442, 23.476562
3024.484987775, 23.740234
3024.584982067, 23.696289
3024.684963609, 23.652344
3024.784951400, 23.652344
3024.884947067, 23.740234
3024.897104526, 23.784180
3024.985078901, 23.652344
3025.085017359, 23.784180
3025.184982359, 23.784180
3025.284960859, 23.740234
3025.384976526, 23.696289
3025.485018276, 23.476562
3025.584999526, 23.520508
3025.684985026, 23.564453
3025.784971859, 23.520508
